STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 43,17280229,2,28073,  380,    O,   30,SNEBET              ,     ,
 43,17280229,3,28072,  340,    O,   30,BET                 ,    1,
 43,17280301,1,28073,  350,   NO,   10,SNE                 ,     ,
 43,17280301,2,28061,  400,   NO,   10,                    ,     ,
 43,17280301,3,28060,  350,   NO,   10,                    ,     ,
 43,17280302,1,28061,  320,    W,   20,                    ,     ,
 43,17280302,2,28061,  380,    W,   20,REG                 ,     ,
 43,17280302,3,28043,  380,    W,   20,HAG                 ,   23,
 43,17280303,1,28060,  400,   NO,   10,                    ,     ,
 43,17280303,2,28090,  430,   NO,   10,                    ,     ,
 43,17280303,3,28110,  380,   NO,   10,                    ,     ,
 43,17280304,1,28113,  370,   NO,    0,                    ,     ,
 43,17280304,2,29002,  480,   NO,    0,                    ,     ,
 43,17280304,3,28112,  480,    N,    0,REG                 ,   20,
 43,17280305,1,28103,  490,    N,    0,REG                 ,   10,
 43,17280305,2,28100,  560,    N,    0,REG                 ,     ,
 43,17280305,3,28100,  520,    N,    0,                    ,     ,
 43,17280306,1,28091,  530,  NNO,   10,BET                 ,     ,
 43,17280306,2,28090,  560,  NNO,   10,BET                 ,     ,
 43,17280306,3,28093,  520,  NNO,   10,BET                 ,     ,
 43,17280307,1,28102,  500,    O,    0,BET                 ,     ,
 43,17280307,2,29002,  560,    O,    0,BET                 ,     ,
 43,17280307,3,29002,  480,    O,    0,BET                 ,     ,
 43,17280308,1,28112,  480,    N,    0,BET                 ,     ,
 43,17280308,2,28113,  570,    N,    0,BET                 ,     ,
 43,17280308,3,29001,  440,    N,    0,BET                 ,     ,
 43,17280309,1,29003,  420,    Z,    0,BET                 ,     ,
 43,17280309,2,29020,  480,    Z,    0,BET                 ,     ,
 43,17280309,3,29031,  410,    Z,    0,BET                 ,     ,
 43,17280310,1,29032,  400,    Z,    0,BET                 ,     ,
 43,17280310,2,29040,  470,    Z,    0,BET                 ,     ,
 43,17280310,3,29042,  400,    Z,    0,BET                 ,     ,
 43,17280311,1,29041,  400,    W,   10,BET                 ,     ,
 43,17280311,2,29032,  450,    W,   10,BET                 ,     ,
 43,17280311,3,29030,  360,    W,   10,BET                 ,     ,
 43,17280312,1,29022,  390,  NNO,    0,                    ,     ,
 43,17280312,2,29003,  480,  NNO,    0,                    ,     ,
 43,17280312,3,29000,  400,  NNO,    0,                    ,     ,
 43,17280313,1,28111,  420,    O,    0,REG                 ,   10,
 43,17280313,2,28103,  480,    O,    0,                    ,     ,
 43,17280313,3,29010,  360,    O,    0,                    ,     ,
 43,17280314,1,29012,  520,   ZO,    0,                    ,     ,
 43,17280314,2,29030,  520,    O,    0,                    ,     ,
 43,17280314,3,29021,  460,    O,    0,REG                 ,    2,
 43,17280315,1,29020,  470,    O,    0,NEV                 ,     ,
 43,17280315,2,29020,  520,    O,    0,                    ,     ,
 43,17280315,3,29020,  490,    O,    0,                    ,     ,
 43,17280316,1,29021,  480,  OZO,    0,                    ,     ,
 43,17280316,2,29021,  540,  OZO,    0,BET                 ,     ,
 43,17280316,3,29021,  480,  OZO,    0,BET                 ,     ,
 43,17280317,1,29021,  480,  OZO,    0,BET                 ,     ,
 43,17280317,2,29013,  530,  OZO,    0,BET                 ,     ,
 43,17280317,3,29021,  400,  OZO,    0,BET                 ,     ,
 43,17280318,1,29022,  380,    O,    0,                    ,     ,
 43,17280318,2,29012,  510,    O,    0,                    ,     ,
 43,17280318,3,29001,  420,    O,    0,                    ,     ,
 43,17280319,1,28102,  440,   NO,   20,BET                 ,     ,
 43,17280319,2,28081,  450,   NO,   20,BET                 ,     ,
 43,17280319,3,28090,  440,   NO,   40,                    ,     ,
 43,17280320,1,28092,  440,   ZO,   10,REG                 ,   10,
 43,17280320,2,28103,  460,   ZO,   10,BET                 ,     ,
 43,17280320,3,28113,  380,   ZO,   10,BET                 ,     ,
 43,17280321,1,29001,  420,    Z,   10,                    ,     ,
 43,17280321,2,29003,  500,    Z,   10,                    ,     ,
 43,17280321,3,29011,  360,    Z,   10,                    ,     ,
 43,17280322,1,29010,  420,  NNW,    0,                    ,     ,
 43,17280322,2,28112,  560,    N,   10,                    ,     ,
 43,17280322,3,28102,  460,    N,   10,                    ,     ,
 43,17280323,1,28100,  470,    O,    0,                    ,     ,
 43,17280323,2,28110,  590,    O,    0,                    ,     ,
 43,17280323,3,29000,  480,    O,    0,                    ,     ,
 43,17280324,1,28113,  480,   NW,    0,                    ,     ,
 43,17280324,2,28103,  540,   NW,    0,REG                 ,     ,
 43,17280324,3,28103,  540,   NW,    0,REG                 ,   10,
 43,17280325,1,28103,   50,    N,    0,                    ,     ,
 43,17280325,2,28110,  640,    N,    0,                    ,     ,
 43,17280325,3,28110,  540,    N,    0,                    ,     ,
 43,17280326,1,28110,   50,    N,   30,                    ,     ,
 43,17280326,2,28111,  630,    N,   30,BET                 ,     ,
 43,17280326,3,28112,  520,    N,   30,BET                 ,     ,
 43,17280327,1,28113,  520,  NNW,   30,                    ,     ,
 43,17280327,2,29003,  540,  NNW,   30,REG                 ,     ,
 43,17280327,3,29002,  520,  NNW,   40,REG                 ,   11,
 43,17280328,1,29010,  530,    O,   20,REG                 ,     ,
 43,17280328,2,29003,  540,    O,   20,REG                 ,     ,
 43,17280328,3,29001,  500,    O,   20,BET                 ,   30,
 43,17280329,1,29001,  500,    O,   20,BET                 ,     ,
 43,17280329,2,29001,  530,    O,   20,BET                 ,     ,
 43,17280329,3,28112,  440,    O,   20,REG                 ,   11,
 43,17280330,1,28110,  520,    O,   20,REG                 ,     ,
 43,17280330,2,28092,  470,    O,   20,REG                 ,     ,
 43,17280330,3,28080,  400,    O,   40,REGHAG              ,   70,
 43,17280331,1,28070,  410,   NO,    0,BET                 ,     ,
 43,17280331,2,28082,  500,   ZO,   30,BET                 ,     ,
 43,17280331,3,28080,  440,   ZO,   30,BETREG              ,     ,
 43,17280401,1,28062,  460,   NO,   40,REG                 ,     ,
 43,17280401,2,28040,  520,   NO,   40,REG                 ,     ,
 43,17280401,3,28060,  460,   NO,   40,HAG                 ,   60,
 43,17280402,1,28070,  460,  ZZO,   30,BET                 ,     ,
 43,17280402,2,28090,  510,  ZZO,   30,BET                 ,     ,
 43,17280402,3,28101,  430,  ZZO,   30,BET                 ,     ,
 43,17280403,1,28102,  560,   ZW,   20,BET                 ,     ,
 43,17280403,2,28110,  520,   ZW,   20,BET                 ,     ,
 43,17280403,3,29000,  400,   ZW,   20,                    ,     ,
 43,17280404,1,29010,  380,    O,   10,                    ,     ,
 43,17280404,2,29011,  520,    O,   10,                    ,     ,
 43,17280404,3,29010,  450,    O,   10,                    ,     ,
 43,17280405,1,29000,  450,   NO,   10,REG                 ,   10,
 43,17280405,2,28113,  500,   NO,   10,BET                 ,     ,
 43,17280405,3,29000,  460,   NO,   10,BET                 ,     ,
 43,17280406,1,29001,  380,    O,   10,BET                 ,     ,
 43,17280406,2,29001,  540,    O,   10,BET                 ,     ,
 43,17280406,3,29001,  440,    O,   10,REG                 ,     ,
 43,17280407,1,28110,  430,  NNW,    0,REG                 ,     ,
 43,17280407,2,28101,  490,    N,   10,REGBET              ,   10,
 43,17280407,3,28090,  450,    N,   10,BET                 ,     ,
 43,17280408,1,28080,  420,  NNW,   10,BET                 ,     ,
 43,17280408,2,28080,  620,  NNW,   10,BET                 ,     ,
 43,17280408,3,28072,  520,  NNW,   10,                    ,     ,
 43,17280409,1,28080,  520,  NNO,    0,BET                 ,     ,
 43,17280409,2,28073,  640,  NNO,    0,BET                 ,     ,
 43,17280409,3,28090,  470,  ZZW,    0,                    ,     ,
 43,17280410,1,28090,  510,   ZO,    0,BET                 ,     ,
 43,17280410,2,28091,  550,    N,   10,REGBETBLI           ,   10,
 43,17280410,3,28100,  450,   ZO,    0,BETREG              ,     ,
 43,17280411,1,28101,  490,    N,    0,BET                 ,     ,
 43,17280411,2,28110,  560,  NNO,   30,REG                 ,     ,
 43,17280411,3,28112,  460,  NNO,   30,REG                 ,   20,
 43,17280412,1,28113,  480,    N,   20,REG                 ,     ,
 43,17280412,2,29010,  570,    N,   20,REG                 ,     ,
 43,17280412,3,29020,  480,    N,   20,BET                 ,     ,
 43,17280413,1,29013,  490,    N,   10,BET                 ,     ,
 43,17280413,2,29012,  640,    N,   10,BET                 ,     ,
 43,17280413,3,29010,  500,  ZZW,    0,REG                 ,   12,
 43,17280414,1,29010,  560,    N,    0,                    ,     ,
 43,17280414,2,29002,  630,    N,    0,REG                 ,     ,
 43,17280414,3,28101,  620,    N,    0,REG                 ,     ,
 43,17280415,1,28090,  530,    O,   40,REG                 ,     ,
 43,17280415,2,28080,  550,    O,   40,REG                 ,     ,
 43,17280415,3,28071,  480,    O,   10,                    ,   30,
 43,17280416,1,28072,  520,    N,   20,REG                 ,     ,
 43,17280416,2,28060,  530,    N,   20,REG                 ,     ,
 43,17280416,3,28030,  500,    N,   30,                    ,   50,
 43,17280417,1,28032,  470,   NO,   10,BET                 ,     ,
 43,17280417,2,28051,  560,   NO,   10,BET                 ,     ,
 43,17280417,3,28090,  400,   NO,   10,BET                 ,     ,
 43,17280418,1,28101,  460,    Z,   30,HAGREG              ,     ,
 43,17280418,2,29003,  500,    Z,   40,SNE                 ,     ,
 43,17280418,3,29023,  380,    Z,   20,HAG                 ,   10,
 43,17280419,1,29040,  420,    O,   10,BET                 ,     ,
 43,17280419,2,29040,  530,    O,   10,BET                 ,     ,
 43,17280419,3,29022,  470,    O,   10,BET                 ,     ,
 43,17280420,1,29010,  480,  NNO,   20,REG                 ,     ,
 43,17280420,2,28110,  510,  NNO,   20,REG                 ,     ,
 43,17280420,3,28111,  440,  NNO,   20,REG                 ,   30,
 43,17280421,1,29000,  500,  ZZO,   10,BET                 ,     ,
 43,17280421,2,29002,  520,  ZZO,   10,BET                 ,     ,
 43,17280421,3,29013,  480,  ZZO,   10,REG                 ,     ,
 43,17280422,1,29013,  390,  ZZO,   10,REG                 ,   10,
 43,17280422,2,29020,  520,    O,    0,BET                 ,     ,
 43,17280422,3,29020,  400,    O,    0,BET                 ,     ,
 43,17280423,1,29013,  440,    O,    0,BET                 ,     ,
 43,17280423,2,29020,  560,    O,    0,BET                 ,     ,
 43,17280423,3,29012,  440,    O,    0,BET                 ,     ,
 43,17280424,1,29010,  460,   NO,    0,BET                 ,     ,
 43,17280424,2,29020,  480,    O,    0,BET                 ,     ,
 43,17280424,3,29033,  560,    O,    0,BET                 ,     ,
 43,17280425,1,29013,  470,   NO,    0,BET                 ,     ,
 43,17280425,2,29013,  600,    O,    0,BET                 ,     ,
 43,17280425,3,29023,  500,    O,    0,BET                 ,     ,
 43,17280426,1,29031,  500,    O,    0,BET                 ,     ,
 43,17280426,2,29032,  630,    O,    0,BET                 ,     ,
 43,17280426,3,29030,  510,    O,    0,BET                 ,     ,
 43,17280427,1,29031,  540,    O,   10,BET                 ,     ,
 43,17280427,2,29032,  580,    O,   10,BET                 ,     ,
 43,17280427,3,29032,  540,    O,   10,BET                 ,     ,
 43,17280428,1,29033,  600,    O,    0,                    ,     ,
 43,17280428,2,29040,  550,   ZO,    0,                    ,     ,
 43,17280428,3,29033,  460,   ZO,    0,                    ,     ,
 43,17280429,1,29041,  560,    W,    0,                    ,     ,
 43,17280429,2,29033,  530,    W,    0,XXXBLI              ,     ,
 43,17280429,3,29032,  460,    W,    0,                    ,     ,
 43,17280430,1,29012,  450,  NNW,    0,                    ,     ,
 43,17280430,2,28110,  640,  NNO,    0,REGBLI              ,     ,
 43,17280430,3,28103,  560,  NNO,    0,REGBET              ,     ,
 43,17280501,1,28113,  550,  NNO,    0,                    ,     ,
 43,17280501,2,28110,  560,  NNO,    0,                    ,     ,
 43,17280501,3,28102,  560,  NNO,    0,                    ,     ,
 43,17280502,1,28082,  560,  NNO,    0,REG                 ,     ,
 43,17280502,2,28082,  580,  NNO,    0,REG                 ,     ,
 43,17280502,3,28073,  580,  NNO,    0,REG                 ,   40,
 43,17280503,1,28070,  680,   NO,    0,REG                 ,     ,
 43,17280503,2,28081,  560,   NO,    0,REG                 ,     ,
 43,17280503,3,28090,  500,   NO,    0,                    ,     ,
 43,17280504,1,28100,  600,   NO,    0,BET                 ,     ,
